index,text,value
6774,para iadesi yapılmadı,2
6775,Samsung klima aldım 8 Haziran'da teslim edildi. Hâlâ gelip montaj yapmadılar. Aymet diye bir yer ile anlaşmışlar adına teknik servis diyorlar ve telefonları bile açmıyorlar. Samsung'u arıyoruz yanıt yok; mail atıyoruz yanıt yok. Özellikle ilgileniyoruz diyorlar ama sonuç yok. Bugün 19 Haziran paramızla rezil oluyoruz.,2
6776,haber vermediler,2
6777,#GıdaMühİstihdam Bizler yoksak gıda güvenliğinden ve insan sağlığından Bahsedilemez @Alo174Gida @tarimtv @tarimveormanbak @TCTarim @bekirpakdemirli @fatihmetintr @mustafaaksutr38,0
6778,arıza yapmış,2
6779,Tarihin en iyi fön makinesi,2
6780,Van'dan Kareler sergimizi online olarak gezebilirsiniz.,0
6781,Sadece iki gün içinde bilgisayarım bozuldu. Gerçekten hayal kırıklığına uğradım.,2
6782,hala sağlam,2
6783,paketim kesiliyor,2
6784,Önceden bi yarım saatte getiriyoruz muhabbetiniz vardı ne oldu o 1 saate mi çıktı🙄🤔 @DominosDestek @DominosTR,2
6785,bildiğiniz familya kaliteli ürün çok pahalısını almaya gerek yok ben beğendim,1
6786,para çekme işlemi gerçekleşmiyor,2
6787,Banka ile geçici olarak çekim gerçekleştiremiyoruz,2
6788,Corba kuru fasulye gibi sulu yemeklerde daha iyi performans alabilecegimi dusunuyorum.,2
6789,banka hesabıma paramı çekemiyorum,2
6790,Bir buçuk ay önce Samsung tablet kampanyalı bir tarifeye geçiş yaptım. Aradan bir hayli zaman geçmesine rağmen ne tabletim geldi ne de bana geri dönüş oldu. Arıyorum ulaşamıyorum. Telefon numarasını internetten bulamıyorum. Turkcell telefon numarasını vermiyor. Böyle işletmeye inanamıyorum. Ankara'nın içinde böyle mağdur olmak inanılmaz. Eğer bu yazım okunacaksa lütfen telefon numaranızı buraya yazın veya beni arayın. Ne zaman vereceksiniz bu tableti? Bir buçuk ay oldu.,2
6791,ne maile cevap veriyorsunuz ne de canlı destekten bağlanabiliyoruz,2
6792,Sabah Turkcell’den Bayram uyarısı gelince ne bayramı olduğunu anlamamıştım akşam üzeri belli oldu.,0
6793,@lcwaikiki ürünlerinizin kalitesi gerçekten çok iyi. Her alışverişimde memnun kalıyorum.,1
6794,gelmeyen,2
6795,Arnica Diva Trend markası robot makinesinin doğrayıcısı kısa bir sürede kırıldı. Hiçbir şey doğramıyor. Arnica gibi bir markanın bu şekilde bir ürün üretmesi üzücü. Memnun kalmadım. 1 yıl oldu. Daha alalı kullanamıyorum. Mağdur oldum. Bu durumun düzeltilmesini istiyorum.,2
6796,Şaka gibisiniz,2
6797,uçuşum çok rahat,1
6798,Ürün orijinal ikinci aynı marka ürünüm paketleme çok iyi sayılmaz daha sağlam sarılmalı 3 günde elime ulaştı,3
6799,@BtcTurkDestek Evet sürekli mesaj atiyoruz ama dönüş yok burdan ilgileniyoruz imaji vermek için yalandan yazıyorsunuz buraya attırmayın sımdı konusmalarımızı @BtcTurkDestek #Bitcoin#btctürk #Ethereum,2
6800,yemekler ve servis harikaydı,1
6801,TurkNet'i kapattım ve modemimi 1 iş günü içerisinde kargoya teslim ettim. Geç teslim ettiniz diye 296 TL fatura çıkardılar ve avukat numarası attılar. İcralık olmadan borcunuzu ödeyin dediler. Ben faturayı yatırdım 2 gündür bekliyorum. Haksız kazanç sağladılar. Sözde iade edecekler insanları mağdur ediyorlar.,2
6802,çok iyi performans sergiliyor,1
6803,Ağustos 2020 tarihinde Uğur derin dondurucu marka değerine güvenerek 7 çekmeceli ued 7266 dtk a++ model Uğur derin dondurucu aldık. Eylül 2022 de yeterli soğutmadığından dolayı alt çekmecelerdeki ürünlerimiz çöp oldu. Servis geldi. Yeterli soğutmadığı tespit edildi. Drayer değişimi yapıldı. Gaz basıldı. 2024 kurban bayramında yine yeterli soğutmadığını tespit ettik. Ürünlerimizi komşuların dolaplarına koyduk. Bu durumdan sıkıldım ve mağduriyet yaşıyoruz. Servisi aradık bayram tatili dolayısıyla çalışılmadığından mağduriyetimiz devam etmektedir. \nMağduriyetimizin giderilmesini istiyorum.,2
6804,derhal iptal edilmesini,2
6805,Sipariş getiren kuryelere dikkat edilmesi gerektiğini düşünüyorum. Kapınızda ya da komşunuzun kapısında bulunan ayakkabıları alıyorlar. Bu durumla ilgili şikayetimi her yere ilettim ama hala bir geri dönüş yok. İhtiyaçlarımızı sipariş ettiğimiz kişiler diğer ihtiyaçlarımız olan şeyleri de alıp gitmekte. Güvenlik konusunda ciddi endişelerim var.,2
6806,Aboneliğimin,2
6807,üyeliğimi sonlandırmak istiyorum,2
6808,Ayvalık’ta tatil yapmak için otel bulmak çok zor oldu ve birçoğu doluydu.,1
6809,hizmet alamıyorum,2
6810,Kendisine ait uçuşun saati hakkında bilgisi olmayan havayolu şirketi @AJET_TR kesinlikle hayal kırıklığıdır. Karayolu ile çok daha hızlı gidebilirsiniz. @AJ_Destek,2
6811,sinyalde problem olduğunu,2
6812,PTT Kargo ile gönderdiğim paketi hala teslim etmediler. Bu ne sorumsuzluk!,2
6813,şikayetimi,2
6814,Tarifemin bittiği gerekçesiyle mesaj ile bilgilendirilerek çok daha yüksek ücretli bir kullanıma geçirildim. Daha sonrasında ücret iki katına çıkarıldı. Tekrar artmayacağının garantisini de veremiyorlar ve bana yeni bir tarife sunamıyorlar. Bu durum beni köşeye sıkıştırıyor.,2
6815,Tüketici olarak mağdur ediliyoruz,2
6816,@THYdestek uçuşum sırasında yaşanan gecikmeler çok can sıkıcıydı ama kabin ekibi çok nazikti,3
6817,Pasaport başvurumuzu 27 aralık tarihinde yapmıştımhala elimize ulaşmadı ve mevcut planlarımızda aksaklıklar olacak bu şekilde olursa ilgilenebilir misiniz @TCNufus@TCNufusDestek,2
6818,paramızın karşılığını alamıyoruz,2
6819,Türk Telekom Tekirdağ büyükşehir ilinin Şarköy ilçesine 1 yıl önce yaptığımız müracaata rağmen hala altyapı sağlamamaktadır. Karşı komşularımızda internet mevcut ama bizim sitemize bir pano ekleyip açıkta duran altyapı kablolarını bağlayacaklar bu basit işlemi bile gerçekleştirmiyorlar. Müşteriye saygı 0,2
6820,hatlar dolu,2
6821,İş Bankası mobil uygulaması çok daha kullanıcı dostu olabilir. Şu an oldukça karışık.,2
6822,Oyalamaktan,2
6823,H&M mağazasında çalışanlar çok güler yüzlü ve yardımcı ama kasada uzun kuyruklar var.,3
6824,Çözüm sıfır sıfır sıfır,2
6825,#Akbank mobil uygulaması çöktü,2
6826,güzel iş görüyor,2
6827,kafa fenerine göre gayet yeterli,2
6828,Türk Telekom Destek@TTDestekEylül 2013 de iptal ettirdiğim internet aboneliği için halen fatura geliyor.,2
6829,Koskoca Arçelik…rezil oldunuz sizi anlıyorum diyen temsilciye en son beni anlamayın kahve makinemi gönderin dedim.perşembe 20 iş günü bitiyor bakalım yenisini yollayacaklar mı?yoksa ben mahkemeye mi gideceğim.Rezilsin Arçelik.@ArcelikDestek @Arcelik_TR @arcelik #arçelik,2
6830,13 gün oldu montaj yok,2
6831,Çal daha fazla çal. Nasılsa sistem senden yana!,2
6832,Daha az önce 5. Kişiyle görüştüm ama nedense işlemlerim çözümlendi denmesine karşın halen daha sistemde çözülmemiş gözüküyor…@Akbank @AkbankDestek,0
6833,sefer bulunmamaktadır,2
6834,İst/sultanbeyli/ petrol yolu cad. bulunan fatih mah. Ve Defterdar duraklarının kapalı durak haline getirilip vatandaşın mağduriyetinin giderilmesini talep ediyoruz @iettdestek @ietttr,2
6835,Hepsi dolu,2
6836,Turkcell Platinum Golf Challenge 2017,0
6837,Arçelik marka bulaşık makinem bulaşıkları güzel yıkamıyor Sıfır ürünü daha üst model ile değiştirmek zorunda kaldım Sonuç olarak tercih ettiğim model Ultra Hijyen 6155 de daha kötü 9 aydır bekliyoruz bakalım üçüncü makine kesinlikle başka marka olacak Bir daha asla Arçelik tercih etmem Ayrıca çamaşır makinemin de tuşları içinde kaldı Sıfır ürünlerde bu hatalar nasıl olur anlamış değilim,2
6838,hala iade yapmadılar,2
6839,@GarantiBBVA kartımdan haksız yere para çekildi. İade edilmesini istiyorum.,2
6840,rahatsız edilmek istemiyorum,2
6841,Bileti alırken hesaptan paramı kesiyor ama hata veriyor ve bilet alınamıyor. Acil bilet almam gerekiyor ama müşteri hizmetlerine bile bağlanamıyorum. Umarım kısa zamanda yardımcı olursunuz yoksa mağdur etmekten başka bir şey yapmıyorsunuz. Acilen paramın geri yatması gerekiyor.,2
6842,5G’ye liderlik ediyor,1
6843,@asweeterpriv @ciceksepeti Aynı şekilde vazo rengi bile ayni degil@ciceksepeti @csdestek,0
6844,Her şey harikaydı,1
6845,@YouwinDestek Yazdım,0
6846,hızlı ve sağlam geldi,1
6847,3. Hafta 60. baskı... Bu hafta da Türkiye’nin en çok satan kitabı. #sengittinyabençokgüzelleştim @destekyayinlari,0
6848,5 para etmez,2
6849,@enerjisadestek Ankara,0
6850,ilgizis,2
6851,dakikalarca bekletiyorlar,2
6852,3 ay önce almıştım. Yeni deneme fırsatım oldu. Bugün acil traş olup işe geçecektim yüzüme sürüyorum hiç almadı. Bir tane bile kılı kesmedi! Sakın almayın rezalet bir şey. İndirimde diye bir sürü almıştım. Şimdi bu kesmeyen traş bıçaklarını ne yapacağımı bilmiyorum :( Amazondan alıp memnun olmadığım tek ürün. Suç ürünün kalitesizliğinde.,2
6853,@Beymen mağazasından aldığım elbise çok şık ve kaliteli. Teşekkür ederim.,1
6854,fazladan faturalandırılmış,2
6855,Beylikdüzü Media Markt'ten Eylül 2023 tarihinde Samsung s22 Samsung telefon aldım. Full kasko yaptırdım. Geçen ay telefonumun ekranında bir çizik oluştu. Telefonu teslim ettikten 1 ay sonra tarafımı arayıp telefonun pert olduğunu söyleyerek bana 10.000TL hediye çeki teklif ettiler. Telefonu satarken bir sorun yaşanması halinden yeni bir telefon ile değiştirecekleri konusunu ballandıra ballandıra anlatan çalışanlar birden kaba varlıklara dönüştü. Benim telefonumun ekranındaki minik bir çizik için ekran değiştirmek yerine pert kararı vermesi hile li olup böyle bir firmaya yakışmayan bir harekettir. Telefona yaptırdığım kaskonun bedeli zaten bu kadar olup bana ödediğim kasko bedelini hizmet olarak sunmaya çalışan bu firma benim gibi haklarını bilen bir avukatın bile hile ile hakkına çökmeye çalışıyorsa vay milletin haline. Tam yasal haklarımı sonuna kadar kullanacağım.,2
6856,bilgi verilmedi,2
6857,yanıltmak olarak görüyorum,2
6858,Migros'tan aldığım ürünlerin kalitesi çok iyi ama fiyatları biraz fazla.,3
6859,@Dr_MBulentOzmen 45 gündür bitiremediğiniz bir sistem güncellemesi! Burada çıkıp ne analatıyorsunuz? @igdasdestek görmemezlikten geliyor! Sayılı günleriniz!,2
6860,Kapattırmak ve ulaşmak imkansız,2
6861,başka operatöre geçmek bile çok zor,2
6862,Otomatik ödeme talimatı vermediğim halde Türk Telekom alt yapılı Pttcell uygulamasında numaram Garanti Bankası'ndan otomatik ödeme talimatı verilmiş gözükmektedir. Bankayı aradığımda böyle bir talimat yok deniyor. GSM şirketini aradığımda da Garanti Bankası'nda talimat var deniyor. Maaş kartıma bağlı başka bir bankaya otomatik ödeme talimatı vermem gerekiyor. Bu çözülemeyen sıkıntı yüzünden veremiyorum. Kim nasıl çözecekse lütfen çözsün bankayı BDDK 'ya GSM şirketini de artık kim ilgileniyorsa ona şikayet edeceğim.,2
6863,Lizbon-&gt;İzmir Pegasus uçağı “TEKNİK” sebepten dolayı 7 saat 10 dakika rötar yaptı. Pegasusmahsur bırakılan Türk Vatandaşları için destek sağlamıyor. Yönlendiren YOK Bilgilendirme Hakkımız YOK İletişim hakkı Yok@TC_LizbonBE @flymepegasus @pegasusdestek @tcbestepe,2
6864,sınır ve stres insanı deli ediyor,2
6865,Ses yok.,2
6866,Teşekürler @tssdestek @THY_Teknik @thy sayedenizde haftasonum mahvoldu👏👏👏,2
6867,Allah belanızı verebilir bence hiç bir problem yok 4 saat rötar nedir iç hat uçuşunda resmen rezillik PEGASUS tercih etmeyin her uçuşda rötarmı olur hep bir sorunmu olur? @ucurbenipegasus @pegasusdestek @flymepegasus #PegasusAirlines #Pegasus,2
6868,iadesini ne zaman yaparsın,2
6869,Kara para olayında @EvkurDestek @EvkurOnline bunlara da bakınız. Yavaş yavaş şube kapatıyorlar kaçıyorlar sayın@memetsimsek @HMBakanligi @gocmenhudut @AliYerlikaya @yilmaztunc @adalet_bakanlik @TC_HSK @EmniyetGM @istanbul_EGM @cnnturk @ntv @Haberturk @FOXhaber @ihacomtr @mynet,2
6870,tebrik ederim,1
6871,daha ucuz olsa,2
6872,@VakifBankDestek Sayın admin çağrı merkeziniz de personel sorunu var galiba ne gündüz ne gece ulaşmak mümkün değil,2
6873,Çiçeksepeti'nden aldığım buket tam istediğim gibi geldi. Süpersiniz!,1
6874,daha iyi değil,2
6875,@asizmir35 @DominosTR @DominosDestek @dominos Adamı kim bilir nasıl çileden çıkardın.,2
6876,daha kötü,2
6877,mağdur kaldık,2
6878,28.12.2023 tarihinde Rüzgarnet adı ile hizmet veren \,0
6879,@Migros ürünlerim eksik geldi müşteri hizmetlerine ulaşamıyorum.,2
6880,işlevsiz oluyor,2
6881,Bugün bir bilgisayar bağladım ve 120hz görüntüyü sadece 1080p çözünürlükte verdiğini gördüm. Onun da 120hz olduğundan şüpheliyim sadece veriler öyle gösteriyor.,2
6882,sopa sorunu var,2
6883,@kamilkocdestek @sotekvar Bir iki kişiyi önemsemezsiniz belki ama yarın bi bakarsınız binlerce kişi olur. Ankara-Karabuk arası iki kişilik koltuğu birimize 52 birimize 54 TL olarak aldık internetten. Diğer firmalar 45 ken siz 50 den aşağı fiyat kesmiyorsunuz. İkram da yok zaten su verdiniz ama sağ olun.,2
6884,kamerası bozuk,2
6885,@Apple teknik servisiniz çok başarılı ve hızlı. Teşekkür ederim.,1
6886,değişim istiyorum!,2
6887,hesaplarına ulaşamayanlar,2
6888,Bibubet ye Amusnet (egt) sağlayıcısında oyun oynuyordum. Bahisim kabul edilip oyun devam ederken hata verip oyundan attı beni. Kasam 515 TL idi 384 Tl o elden kazanç sağladım oyun geçmişimde bahis idsi ve kazanç gözüküyorken ana kasama kazanç eklenmedi. Canlı desteğe durumu anlattım her şey apaçık ortada iken çözüm sağlanmıyor. Sorun yok deniliyor. Israrla durumu söylemem sonucu sağlayıcıya inceleme talebi verdik sonuçlanmadı diyerek konunun üzeri kapatılmaya çalışıyor. Bibubet güven vermiyor açıkçası. Sorun çözmekten ziyade günü kurtarma peşine düşülüyor,2
6889,Superonline üyeliğim biter bitmez TTNet'e geri geçeceğim.,2
6890,1000 Mbps hız hediye edileceğini söylendi,2
6891,Klima montajında rezalet bir hizmetiniz varYeni alınmış ürünün montajı için ilave para talep ediyorsun ve yetkili servis göndermiyorsun herhangi bir şahıs geldi montaj içiniki gündür aramama rağmen henüz konuyu çözüme kavuştumadınız. @bekoturkiye #beko@ArcelikDestek #arçelik,2
6892,Operatör değiştireceğim ne kadar cayma bedeli çıkıyor,2
6893,Apple teknik servisi çok başarılı fakat ürünler çok pahalıya satılıyor. Bu kadar pahalı olmamalı.,3
6894,hala evimde internetim yok,2
6895,kurulum yapılmıyor,2
6896,Trendyol'dan aldığım elbise yanlış beden geldi. İade süreci çok uzun.,2
6897,Eski hattımı kapattım ve yeni numarama geçtim ama Millenicom'da numaramı değiştiremiyorum mobil uygulamaya giriş yapamıyorum. WhatsApp destek hattı veya müşteri hizmetlerini aradığımda konuşmaya devam etmek için telefonunuza gelen kodu girin diyor. Gerçekten saçma bir sistem mobil uygulamaya bunun için bir buton koymayı düşünememişler.,2
6898,kaba olmayı nasıl beceriyor? Özel eğitim veriyor musunuz?,2
6899,#epttavm Siparişim beklediğimden hızlı geldi çok teşekkür ederim,1
6900,ürünleri çok kaliteli,1
6901,Ev interneti için Vodafone Net'e geçtim. Şimdilik memnunum.,1
6902,montaj hizmetleri berbat,2
6903,Sim kartı aldım 8 gündür aktivasyon yapılamadı. Turkcell pişmanlıktır. Artık şu numarayı açın ilgi ve alaka sıfır. Aciliyet lazım diyorum 8 gün oldu. Kart eve geleli hala 'servis yok' yazıyor. Beni paramla rezil ediyorsunuz ayıp.,2
6904,meşgule düşüyor,2
6905,çok teşekkür ederim,1
6906,Fiber internet hız problemi. TurkNet ilgisiz bir firma üç gün önce hız düşüklüğü problemini ilettik daha sonra da iki kez aradım hala ne arayan var ne soran. Klasik olarak teknik ekiplere iletildi bekleyin sizi arayacaklar diyorlar. 1000 Mbps için faturalandırmayı biliyorlar ama 4 Mbps olarak hizmet sundukları için değil para alıyoruz.,2
6907,@PinarSut sütlerinizin tadını çok beğendim. Ancak son aldığım pakette sorun vardı.,3
6908,keyifliydi,1
6909,evde bulunamadı,2
6910,Yolculuğum Pegasus ile harikaydı,3
6911,Haziran 2022 'den beri problemi çözemeyen bankanın adıdır. @akbank @AkbankDestek Bana attığınız mail ile sorun çözülmüyor. 5 Aydır konu ile alakalı bölümünüzden bir yetkilinin telefon ile aramasini bekliyorum. Lütfen beni bankanizda kayıtlı olan telefonumdan acil arayın.,2
6912,kafalarına göre iptal edilmiş,2
6913,Türk Telekom ev interneti 200mbs fiber internet kullanıyorum yaklaşık 2-3 aydır Çoğu zaman 100-150 arası aldığım hız dün itibarıyla 30un altına düşmeye başladı Müşteri hizmetlerini aradım maalesef oradaki arkadaş ezberlediği şeyleri söylemek dışında hiçbir şey yapmadı Görüşme esnasında hız testi yapıyorum 2mbs çıktı 9mbs çıktı,2
6914,İzmirde Mardine direk uçak İstiyoruz,2
6915,zam yapmaları sebebiyle başka bir firmayla anlaşarak hizmetten çıkmak istedim,2
6916,Amazon Prime kargo süreci gerçekten harika. Siparişim bir günde teslim edildi. Harikasınız!,1
6917,#Turkcell hattımda sürekli internet kesintisi yaşıyorum.,2
6918,çıkışımı onaylamadılar,2
6919,onayım olmadan yurt dışı paketi tanımlanmış,2
6920,sorunu giderdiğiniz için teşekkürler @ayedasdestek,1
6921,Allah belanizi versin .. sariyerde pazar gunu tum gun sumu kesilir. @iski_destek,0
6922,konumun yanlış algılanıp faturasının bana kesilmesi doğru değildir,2
6923,yardımcı olamayacaklarını ilettiler,2
6924,#Trendyol siparişim hızlı geldi ama ürün hasarlıydı değişim talep ediyorum,3
6925,şikayet talebi dahi almadılar,2
6926,Tatil rezervasyonumda sorun çıktı,2
6927,#FF @TheVFoundation @World_Wildlife @CureBrainCancer @OCNA @AmericanCancer @BrainCancerCure @MakeAWish @derechoavivircl @Bra @Support2Life,0
6928,Acilen mağduriyetimin giderilmesini talep ediyorum.,2
6929,Şimdide evde internet gitti @VodafoneDestek @VodafoneTR,2
6930,Tüketici Hakları'na başvuruda bulunacağım,2
6931,Sepetli cam damacana için uygun değil kısa kalıyor boyun kısmı. Hızlı dolduruyor ancak bir kaç litreden sonra suyu aldığı kısımda hava birikiyor ve akış oldukça yavaşlıyor. Her litre sudan sonra doldurup tekrar çalıştırmak gerekiyor. Onun dışında iyi gayet uzun gidiyor bataryası. Cam damacana için bu değil ama kesinlikle…,3
6932,elektriği kesmenin mantıklı bir açıklaması var mı,2
6933,Türk Telekom müşteri hizmetleri numarası sürekli meşgul. Bu kadar kötü hizmet olamaz.,2
6934,çeşitli entrikalarla üye yapıyorlar,2
6935,D&R'dan aldığım kitaplar çok hızlı geldi ve paketleme çok özenliydi. Teşekkürler @drdestek,1
6936,380 küsur TL geldi,2
6937,Her zaman kullandig8m urunden 4 adet aldim. Epey bir zaman kullanirim. Baska yerlerle fiyat mukayese ederek buradan avantajli aldim. Tesekkurler AMAZON 🙏🏻🧿,1
6938,faturayı iptal etmediler,2
6939,insanları mağdur ediyorlar,2
6940,Dekorasyon için bir adım atmak lazım. Adım attığın yer için yeni bir zemin lazım! Zemine…..lazım!,0
6941,Çalışanlar nazik,1
6942,Soğutma özelliğini denemeyedik bugün geldi boyut olarak mutlaka dikkat edin 15 lt olan Ufak gelir diye bunu aldım iç haznesi aslında o kadar büyük değil dış kalinligi fazla ayrıca kollar da fazla çıkıntılı geldi gözüme sakıncası olamayacaksa kollarını sokecegim 4 kişiyiz anca yeter bu boyutu,2
6943,Siz şakamısınız? 1 GB interneti 100tl karşılığında mı veriyorsunuz. @VodafoneDestek,2
6944,sıra beklemek,2
6945,Hesabımı dondurmak istememe rağmen hesabımı dondurmuyorlar ve 1 saat müşteri hizmetlerine bağlamıyorlar. Abone yaparken bir sürü hizmetten bahsediyorlar sonra hiçbir şekilde yardımcı olmuyorlar. Kapatmak istiyorum bağlanmıyorlar. Bende faturayı ödemeyeceğim.,2
6946,çok ses çıkarıyor,2
6947,Netflix içerikleri son zamanlarda çok iyi. Yeni diziler harika.,1
6948,Acil önlem ve tedbir lütfen!,2
6949,ilgilenen arayan soran yok,2
6950,17-18 saatleri arasında (işten çıkıp eve gittiğimiz saatlerde) @albarakacomtr atmleri hep bozuk.işlem yapılıyor bekleyin.@AlbarakaDestek,2
6951,Trendyol'dan aldığım ürün hızlıca elime ulaştı ve beklediğimden güzeldi. Teşekkür ederim.,1
6952,pes vallahi pes,2
6953,yandı,2
6954,Günün 24 saati ve her saniyesinde ,0
6955,Marketten aldığım meyveler çürük çıktı. Telafi için aradım ama kimse ilgilenmedi.,2
6956,rezil oldum,2
6957,ürün eksik geldi,2
6958,Allah hizmetlerinizi daim eylesin.@Kizilay @drkerem @KizilayDestek,1
6959,iletişim kurmak imkansız,2
6960,TurkNet Haziran ayı başından beri yaşamış olduğum DSL problemini hala çözümlemedi. Her aradığımda aciliyet bildirisi alıyorlar ama sonuç yok. Yalın internet geçiş işlemi yapılacak diye hattın komple nasıl kapatılabildiğini anlamış değilim. Bir an önce çözüm sunulmazsa aboneliğimi kapattıracağım,2
6961,çöktü sanırım,2
6962,@VodafoneTR internetim sürekli kesiliyor her gün aynı sorun müşteri temsilcisine de ulaşamıyorum,2
6963,Milli hava yolu şirketi Türk Hava Yolları hâlâ İşgalci İsrail mallarını satmakta!Filistinli kardeşlerimize yapılan soykırıma ortak olma THY! @TurkishAirlines @TK_TR,2
6964,temiz ve düzenli,1
6965,tercih ediyorum,1
6966,8-9 Haziran TYT ve AYT de salın başkanı olarak görev aldım ücretim yatmadı neden yatmıyor hiç anlamadım görevi eksiksiz yaptım. Kimlik bilgilerim güncel ancak neden ücretim yatmıyor. Lütfen yatırılmasını talep ediyorum Zaten çok çok az ücret veriliyor,2
6967,şoförün sigara içmesi sorununu yaşıyoruz ☹️☹️ ,2
6968,Trendyol Go yemek siparişimde beni nasıl “sazan” yerine koymayı denediler vebu numarayı yememiş olmama rağmen nasıl “param bana iade edilmedi”? adlı yazıma hoşgeldiniz! Berbatsınız @Trendyol @TrendyolDestek @TrendyolYemek,2
6969,Yıl olmuş 2023,2
6970,İmza ve sohbet bir arada geçti bugün. Tüm sevgili okur dostlarıma ilgileri ve samimi paylaşımları için teşekkür ediyorum.#başımabirişgeldi@DRdunyasi@destekyayinlari,0
6971,Almayın!,2
6972,Türk Telekom ev interneti talebinde bulundum. Port sıkıntısı ve hız problemi var. Telefon hatları ile internet sağlıyorsunuz. Onda bile portlar dolu olduğu için mahallemizde bir kişide bile internet yok. Yıl oldu 2024 yaşadığımız sıkıntılara bakın. Fiber falan değil VDSL internet bile yok. 16 Mbps sabit internet yeterli olur ama yıllardır hiçbir çalışma yok. Yan mahallemizde internet olmasına rağmen bizimle kimse ilgilenmiyor. 100 haneli bir mahalleyiz. Lütfen bir şeyler yapın artık. Ne telefon çekiyor ne de kablolu internetimiz.,2
6973,Yağmur yağıyor elektrik yok delirmemek elde değil arkadaş @TCEnerji @enerjisadestek #Adana #Yüreğir,2
6974,telefon ve internet çekmiyor,1
6975,hiçbir çalışma yapılmıyor,1
6976,@superonline @Turkcell destek sayfasına giriyorum ama kimseye ulaşamıyorum. İnternet hızım sürekli düşüyor.,2
6977,#tuprs yarısını çıktım. #eregl ye geçmeden 1-2 tur #tcell dönmeye karar verdim. #eregl anlık ataklar yapacak olsa bile asıl hareket için daha vakti var bence.#tcell &amp; superonline süprizlere daha gebe.#tcell 57 00₺#eregl 44 06₺Hedef 1 lot #tcell ile 2 5 lot #eregl,0
6978,Resmen terk edildik,1
6979,kablolu internetimiz bile yok,1
6980,0295 ile biten VakıfBank'a ait kredi kartıma 27/05/2024 tarihinde 569 00 TL yıllık kart aidatı adı altında bir ücret yansıtılmıştır. Aşağıda belirtilen yasa gereği kart ücretimin koşulsuz olarak iptal edilmesini talep ediyorum. Tüketici Kanunu'nun 28 Mayıs 2014 tarihli 31. Maddesi'nin 3. Fıkrası gereğince kart çıkaran kuruluşlar tüketicilere yıllık üyelik aidatı ve benzeri isimler altında bir ücret tahsil etmedikleri bir kredi kartı türü sunmak zorundadır. 4822 sayılı Kanun ile değişik 4077 sayılı Tüketicinin Korunması Hakkında Kanun'un sözleşmedeki haksız şartlar başlıklı 6. Maddesi gereğince bankanızın almış olduğu üyelik ücreti herhangi bir hizmet karşılığı olmadığından söz konusu sözleşme şartı önceden hazırlanmış özellikle standart sözleşmede yer aldığı için içeriğine etki edilemeyip müzakere edilemediğinden haksız şarttır. 13. Hukuk Dairesi'nin verdiği 2011/4736 esas ve 2011/11579 sayılı son karara göre söz konusu yıllık kart ücreti aidatının Borçlar Kanunu'nun 125. Maddesi ve Hukuk Genel Kurulu'nun 2010/1-93-88 sayılı kararı uyarınca geriye dönük kesilen kart aidatlarının da iadesi gerektiğine dair kesin hüküm bulunmaktadır. Alınan tüm kredi kartı aidat ücretlerinin tarafıma iadesi ve aidatsız bir kartla değiştirilmesi hususunda gereğinin yapılmasını talep ediyorum. Bu konuda en kısa sürede geri dönüş yapılmasını bekliyorum. Çağrı merkezinizden yanıt alamadığım için Tüketici Hakem Heyeti'ne başvurduğumu bildiririm.,2
6981,Biletix'den aldığım bilet iptal edildi ve param iade edilmedi. Bu durum beni çok mağdur etti.,2
6982,iyi kesmiyor,2
6983,kişisel bakım ürünü deyip kabul etmediler,2
6984,SINIR TANIMAYAN DOKTORLAR İÇİN ÇALIŞMAK İSTER MİSİNİZ?,0
6985,Türk Hava Yollarının yalancı Business Class'ı @TK_TR @BilalEksiTHY,0
6986,2 ay oldu hala gönderilmedi,2
6987,tabanı ayrıldı,2
6988,Çekim yapılamıyor. Denemediğim banka kalmadı fast ile de çekim yapılmıyor. Bu son bir daha Payfix'e para atmayacağım. Ne müşteri hizmetlerine ulaşılıyor ne de bir açıklama var acil destek paramın banka hesabıma geçmesini talep ediyorum asla müşteri hizmetlerine bağlanamıyorum,2
6989,asla buradan alışveriş yapmam,2
6990,MNG Kargo paketimi kaybetmiş 3 haftadır bekliyorum hala bulunamadı rezalet bir hizmet,2
6991,mağdur durumda bıraktılar,1
6992,Vodafone Cüzdan sadece telefon uygulamasında bulunuyor ve Cüzdan kullanarak alışveriş yapmak istediğimde,0
6993,Exxen bünyesinde deneme üyeliği kapsamında üye oldum. Hesabımdan 1 TL çekilmesine rağmen giriş yapıp izleyemedim bu sebeple üye olamadığımı düşünüp aynı bilgilerle bir daha üye oldum. Uygulamaya giriş yapıp izleyememe rağmen beni aktif üye gösterdiği için sistemden girip aktif üyeliği sonlandırdım ve buna dair onay aldım.,0
6994,param çekildi,1
6995,Anlaşılan sorunu çözmemek için inat edeceksiniz @VakifBankDestek . Madem öyle başka kanallardan da deneyelim şansımızı.,0
6996,ürünler yok,1
6997,@gulengida59 @gulengida59 Merhaba telefon numaranızı DM üzerinden alabilir miyiz?,0
6998,bayramımı zehir ettiler,1
6999,Hesap bilgilerimin çalınması,2
7000,Turkcell internet hızı çok yavaş. Bu durumu acilen düzeltin.,2
7001,Pizza söyledik. Yağlı ekmek geldi. Bu beni üzer. @DominosTR@DominosDestek,2
